keyword,target_url,city,priority,page_type,target_indexable
"maid service in diplomatic enclave",/delhi/chanakyapuri,delhi,very-high,"locality hub (alt name, same page)",yes
"full time maid in chanakyapuri",/delhi/chanakyapuri/full-time-maid,delhi,very-high,"service x locality (full-time-maid)",yes
"live in maid in chanakyapuri",/delhi/chanakyapuri/full-time-maid,delhi,very-high,"service x locality (full-time-maid)",yes
"24 hours maid in chanakyapuri",/delhi/chanakyapuri/full-time-maid,delhi,very-high,"service x locality (full-time-maid)",yes
"part time maid in chanakyapuri",/delhi/chanakyapuri/part-time-maid,delhi,very-high,"service x locality (part-time-maid)",yes
"hourly maid in chanakyapuri",/delhi/chanakyapuri/part-time-maid,delhi,very-high,"service x locality (part-time-maid)",yes
"morning maid in chanakyapuri",/delhi/chanakyapuri/part-time-maid,delhi,very-high,"service x locality (part-time-maid)",yes
"cook service in chanakyapuri",/delhi/chanakyapuri/cook,delhi,very-high,"service x locality (cook)",yes
"home cook in chanakyapuri",/delhi/chanakyapuri/cook,delhi,very-high,"service x locality (cook)",yes
"cook in chanakyapuri",/delhi/chanakyapuri/cook,delhi,very-high,"service x locality (cook)",yes
"babysitter in chanakyapuri",/delhi/chanakyapuri/babysitter-nanny,delhi,very-high,"service x locality (babysitter-nanny)",yes
"nanny service in chanakyapuri",/delhi/chanakyapuri/babysitter-nanny,delhi,very-high,"service x locality (babysitter-nanny)",yes
"japa maid in chanakyapuri",/delhi/chanakyapuri/babysitter-nanny,delhi,very-high,"service x locality (babysitter-nanny)",yes
"elder care maid in chanakyapuri",/delhi/chanakyapuri/elder-care,delhi,very-high,"service x locality (elder-care)",yes
"caretaker for elderly in chanakyapuri",/delhi/chanakyapuri/elder-care,delhi,very-high,"service x locality (elder-care)",yes
"domestic help in chanakyapuri",/delhi/chanakyapuri/domestic-help,delhi,very-high,"service x locality (domestic-help)",yes
"house help in chanakyapuri",/delhi/chanakyapuri/domestic-help,delhi,very-high,"service x locality (domestic-help)",yes
"maid service in r.k. puram",/delhi/rk-puram,delhi,very-high,"locality hub",yes
"maid agency in r.k. puram",/delhi/rk-puram,delhi,very-high,"locality hub",yes
"maid provider in r.k. puram",/delhi/rk-puram,delhi,very-high,"locality hub",yes
"house maid in r.k. puram",/delhi/rk-puram,delhi,very-high,"locality hub",yes
"housemaid in r.k. puram",/delhi/rk-puram,delhi,very-high,"locality hub",yes
"professional maid service in r.k. puram",/delhi/rk-puram,delhi,very-high,"locality hub",yes
"best maid service in r.k. puram",/delhi/rk-puram,delhi,very-high,"locality hub",yes
"verified maid service in r.k. puram",/delhi/rk-puram,delhi,very-high,"locality hub",yes
"reliable maid service in r.k. puram",/delhi/rk-puram,delhi,very-high,"locality hub",yes
"maid near me r.k. puram",/delhi/rk-puram,delhi,very-high,"locality hub",yes
"maid service in rama krishna puram",/delhi/rk-puram,delhi,very-high,"locality hub (alt name, same page)",yes
"full time maid in r.k. puram",/delhi/rk-puram/full-time-maid,delhi,very-high,"service x locality (full-time-maid)",yes
"live in maid in r.k. puram",/delhi/rk-puram/full-time-maid,delhi,very-high,"service x locality (full-time-maid)",yes
"24 hours maid in r.k. puram",/delhi/rk-puram/full-time-maid,delhi,very-high,"service x locality (full-time-maid)",yes
"part time maid in r.k. puram",/delhi/rk-puram/part-time-maid,delhi,very-high,"service x locality (part-time-maid)",yes
"hourly maid in r.k. puram",/delhi/rk-puram/part-time-maid,delhi,very-high,"service x locality (part-time-maid)",yes
"morning maid in r.k. puram",/delhi/rk-puram/part-time-maid,delhi,very-high,"service x locality (part-time-maid)",yes
"cook service in r.k. puram",/delhi/rk-puram/cook,delhi,very-high,"service x locality (cook)",yes
"home cook in r.k. puram",/delhi/rk-puram/cook,delhi,very-high,"service x locality (cook)",yes
"cook in r.k. puram",/delhi/rk-puram/cook,delhi,very-high,"service x locality (cook)",yes
"babysitter in r.k. puram",/delhi/rk-puram/babysitter-nanny,delhi,very-high,"service x locality (babysitter-nanny)",yes
"nanny service in r.k. puram",/delhi/rk-puram/babysitter-nanny,delhi,very-high,"service x locality (babysitter-nanny)",yes
"japa maid in r.k. puram",/delhi/rk-puram/babysitter-nanny,delhi,very-high,"service x locality (babysitter-nanny)",yes
"elder care maid in r.k. puram",/delhi/rk-puram/elder-care,delhi,very-high,"service x locality (elder-care)",yes
"caretaker for elderly in r.k. puram",/delhi/rk-puram/elder-care,delhi,very-high,"service x locality (elder-care)",yes
"domestic help in r.k. puram",/delhi/rk-puram/domestic-help,delhi,very-high,"service x locality (domestic-help)",yes
"house help in r.k. puram",/delhi/rk-puram/domestic-help,delhi,very-high,"service x locality (domestic-help)",yes
"maid service in lajpat nagar",/delhi/lajpat-nagar,delhi,very-high,"locality hub",yes
"maid agency in lajpat nagar",/delhi/lajpat-nagar,delhi,very-high,"locality hub",yes
"maid provider in lajpat nagar",/delhi/lajpat-nagar,delhi,very-high,"locality hub",yes
"house maid in lajpat nagar",/delhi/lajpat-nagar,delhi,very-high,"locality hub",yes
"housemaid in lajpat nagar",/delhi/lajpat-nagar,delhi,very-high,"locality hub",yes
"professional maid service in lajpat nagar",/delhi/lajpat-nagar,delhi,very-high,"locality hub",yes
"best maid service in lajpat nagar",/delhi/lajpat-nagar,delhi,very-high,"locality hub",yes
"verified maid service in lajpat nagar",/delhi/lajpat-nagar,delhi,very-high,"locality hub",yes
"reliable maid service in lajpat nagar",/delhi/lajpat-nagar,delhi,very-high,"locality hub",yes
"maid near me lajpat nagar",/delhi/lajpat-nagar,delhi,very-high,"locality hub",yes
"full time maid in lajpat nagar",/delhi/lajpat-nagar/full-time-maid,delhi,very-high,"service x locality (full-time-maid)",yes
"live in maid in lajpat nagar",/delhi/lajpat-nagar/full-time-maid,delhi,very-high,"service x locality (full-time-maid)",yes
"24 hours maid in lajpat nagar",/delhi/lajpat-nagar/full-time-maid,delhi,very-high,"service x locality (full-time-maid)",yes
"part time maid in lajpat nagar",/delhi/lajpat-nagar/part-time-maid,delhi,very-high,"service x locality (part-time-maid)",yes
"hourly maid in lajpat nagar",/delhi/lajpat-nagar/part-time-maid,delhi,very-high,"service x locality (part-time-maid)",yes
"morning maid in lajpat nagar",/delhi/lajpat-nagar/part-time-maid,delhi,very-high,"service x locality (part-time-maid)",yes
"cook service in lajpat nagar",/delhi/lajpat-nagar/cook,delhi,very-high,"service x locality (cook)",yes
"home cook in lajpat nagar",/delhi/lajpat-nagar/cook,delhi,very-high,"service x locality (cook)",yes
"cook in lajpat nagar",/delhi/lajpat-nagar/cook,delhi,very-high,"service x locality (cook)",yes
"babysitter in lajpat nagar",/delhi/lajpat-nagar/babysitter-nanny,delhi,very-high,"service x locality (babysitter-nanny)",yes
"nanny service in lajpat nagar",/delhi/lajpat-nagar/babysitter-nanny,delhi,very-high,"service x locality (babysitter-nanny)",yes
"japa maid in lajpat nagar",/delhi/lajpat-nagar/babysitter-nanny,delhi,very-high,"service x locality (babysitter-nanny)",yes
"elder care maid in lajpat nagar",/delhi/lajpat-nagar/elder-care,delhi,very-high,"service x locality (elder-care)",yes
"caretaker for elderly in lajpat nagar",/delhi/lajpat-nagar/elder-care,delhi,very-high,"service x locality (elder-care)",yes
"domestic help in lajpat nagar",/delhi/lajpat-nagar/domestic-help,delhi,very-high,"service x locality (domestic-help)",yes
"house help in lajpat nagar",/delhi/lajpat-nagar/domestic-help,delhi,very-high,"service x locality (domestic-help)",yes
"maid service in defence colony",/delhi/defence-colony,delhi,very-high,"locality hub",yes
"maid agency in defence colony",/delhi/defence-colony,delhi,very-high,"locality hub",yes
"maid provider in defence colony",/delhi/defence-colony,delhi,very-high,"locality hub",yes
"house maid in defence colony",/delhi/defence-colony,delhi,very-high,"locality hub",yes
"housemaid in defence colony",/delhi/defence-colony,delhi,very-high,"locality hub",yes
"professional maid service in defence colony",/delhi/defence-colony,delhi,very-high,"locality hub",yes
"best maid service in defence colony",/delhi/defence-colony,delhi,very-high,"locality hub",yes
"verified maid service in defence colony",/delhi/defence-colony,delhi,very-high,"locality hub",yes
"reliable maid service in defence colony",/delhi/defence-colony,delhi,very-high,"locality hub",yes
"maid near me defence colony",/delhi/defence-colony,delhi,very-high,"locality hub",yes
"full time maid in defence colony",/delhi/defence-colony/full-time-maid,delhi,very-high,"service x locality (full-time-maid)",yes
"live in maid in defence colony",/delhi/defence-colony/full-time-maid,delhi,very-high,"service x locality (full-time-maid)",yes
"24 hours maid in defence colony",/delhi/defence-colony/full-time-maid,delhi,very-high,"service x locality (full-time-maid)",yes
"part time maid in defence colony",/delhi/defence-colony/part-time-maid,delhi,very-high,"service x locality (part-time-maid)",yes
"hourly maid in defence colony",/delhi/defence-colony/part-time-maid,delhi,very-high,"service x locality (part-time-maid)",yes
"morning maid in defence colony",/delhi/defence-colony/part-time-maid,delhi,very-high,"service x locality (part-time-maid)",yes
"cook service in defence colony",/delhi/defence-colony/cook,delhi,very-high,"service x locality (cook)",yes
"home cook in defence colony",/delhi/defence-colony/cook,delhi,very-high,"service x locality (cook)",yes
"cook in defence colony",/delhi/defence-colony/cook,delhi,very-high,"service x locality (cook)",yes
"babysitter in defence colony",/delhi/defence-colony/babysitter-nanny,delhi,very-high,"service x locality (babysitter-nanny)",yes
"nanny service in defence colony",/delhi/defence-colony/babysitter-nanny,delhi,very-high,"service x locality (babysitter-nanny)",yes
"japa maid in defence colony",/delhi/defence-colony/babysitter-nanny,delhi,very-high,"service x locality (babysitter-nanny)",yes
"elder care maid in defence colony",/delhi/defence-colony/elder-care,delhi,very-high,"service x locality (elder-care)",yes
"caretaker for elderly in defence colony",/delhi/defence-colony/elder-care,delhi,very-high,"service x locality (elder-care)",yes
"domestic help in defence colony",/delhi/defence-colony/domestic-help,delhi,very-high,"service x locality (domestic-help)",yes
"house help in defence colony",/delhi/defence-colony/domestic-help,delhi,very-high,"service x locality (domestic-help)",yes
"maid service in new friends colony",/delhi/new-friends-colony,delhi,very-high,"locality hub",yes
"maid agency in new friends colony",/delhi/new-friends-colony,delhi,very-high,"locality hub",yes
"maid provider in new friends colony",/delhi/new-friends-colony,delhi,very-high,"locality hub",yes
"house maid in new friends colony",/delhi/new-friends-colony,delhi,very-high,"locality hub",yes
"housemaid in new friends colony",/delhi/new-friends-colony,delhi,very-high,"locality hub",yes
"professional maid service in new friends colony",/delhi/new-friends-colony,delhi,very-high,"locality hub",yes
"best maid service in new friends colony",/delhi/new-friends-colony,delhi,very-high,"locality hub",yes
"verified maid service in new friends colony",/delhi/new-friends-colony,delhi,very-high,"locality hub",yes
"reliable maid service in new friends colony",/delhi/new-friends-colony,delhi,very-high,"locality hub",yes
"maid near me new friends colony",/delhi/new-friends-colony,delhi,very-high,"locality hub",yes
"maid service in nfc",/delhi/new-friends-colony,delhi,very-high,"locality hub (alt name, same page)",yes
"full time maid in new friends colony",/delhi/new-friends-colony/full-time-maid,delhi,very-high,"service x locality (full-time-maid)",yes
"live in maid in new friends colony",/delhi/new-friends-colony/full-time-maid,delhi,very-high,"service x locality (full-time-maid)",yes
"24 hours maid in new friends colony",/delhi/new-friends-colony/full-time-maid,delhi,very-high,"service x locality (full-time-maid)",yes
"part time maid in new friends colony",/delhi/new-friends-colony/part-time-maid,delhi,very-high,"service x locality (part-time-maid)",yes
"hourly maid in new friends colony",/delhi/new-friends-colony/part-time-maid,delhi,very-high,"service x locality (part-time-maid)",yes
"morning maid in new friends colony",/delhi/new-friends-colony/part-time-maid,delhi,very-high,"service x locality (part-time-maid)",yes
"cook service in new friends colony",/delhi/new-friends-colony/cook,delhi,very-high,"service x locality (cook)",yes
"home cook in new friends colony",/delhi/new-friends-colony/cook,delhi,very-high,"service x locality (cook)",yes
"cook in new friends colony",/delhi/new-friends-colony/cook,delhi,very-high,"service x locality (cook)",yes
"babysitter in new friends colony",/delhi/new-friends-colony/babysitter-nanny,delhi,very-high,"service x locality (babysitter-nanny)",yes
"nanny service in new friends colony",/delhi/new-friends-colony/babysitter-nanny,delhi,very-high,"service x locality (babysitter-nanny)",yes
"japa maid in new friends colony",/delhi/new-friends-colony/babysitter-nanny,delhi,very-high,"service x locality (babysitter-nanny)",yes
"elder care maid in new friends colony",/delhi/new-friends-colony/elder-care,delhi,very-high,"service x locality (elder-care)",yes
"caretaker for elderly in new friends colony",/delhi/new-friends-colony/elder-care,delhi,very-high,"service x locality (elder-care)",yes
"domestic help in new friends colony",/delhi/new-friends-colony/domestic-help,delhi,very-high,"service x locality (domestic-help)",yes
"house help in new friends colony",/delhi/new-friends-colony/domestic-help,delhi,very-high,"service x locality (domestic-help)",yes
"maid service in okhla",/delhi/okhla,delhi,high,"locality hub",yes
"maid agency in okhla",/delhi/okhla,delhi,high,"locality hub",yes
"domestic help in okhla",/delhi/okhla,delhi,high,"locality hub",yes
"full-time maid in okhla",/delhi/okhla/full-time-maid,delhi,high,"service x locality (full-time-maid)",yes
"part-time maid in okhla",/delhi/okhla/part-time-maid,delhi,high,"service x locality (part-time-maid)",yes
"cook in okhla",/delhi/okhla/cook,delhi,high,"service x locality (cook)",yes
"babysitter / nanny in okhla",/delhi/okhla/babysitter-nanny,delhi,high,"service x locality (babysitter-nanny)",yes
"elder care in okhla",/delhi/okhla/elder-care,delhi,high,"service x locality (elder-care)",yes
"maid service in mehrauli",/delhi/mehrauli,delhi,high,"locality hub",yes
"maid agency in mehrauli",/delhi/mehrauli,delhi,high,"locality hub",yes
"domestic help in mehrauli",/delhi/mehrauli,delhi,high,"locality hub",yes
"full-time maid in mehrauli",/delhi/mehrauli/full-time-maid,delhi,high,"service x locality (full-time-maid)",yes
"part-time maid in mehrauli",/delhi/mehrauli/part-time-maid,delhi,high,"service x locality (part-time-maid)",yes
